subject, practice/real, trial#, target/nontarget, target type, setsize, error, responsetime 
1250372, 1, 1, 1, 2, 8, 0, 852 
1250372, 1, 2, 1, 2, 4, 0, 612 
1250372, 1, 3, 1, 2, 4, 0, 727 
1250372, 1, 4, 1, 1, 8, 0, 1027 
1250372, 1, 5, 1, 1, 4, 0, 684 
1250372, 1, 6, 1, 1, 4, 0, 681 
1250372, 1, 7, 2, 2, 8, 0, 883 
1250372, 1, 8, 1, 2, 16, 0, 767 
1250372, 1, 9, 1, 1, 4, 0, 684 
1250372, 1, 10, 1, 1, 4, 0, 1038 
1250372, 1, 11, 2, 2, 4, 0, 798 
1250372, 1, 12, 2, 2, 16, 0, 790 
1250372, 2, 1, 2, 1, 16, 0, 1135 
1250372, 2, 2, 1, 1, 8, 0, 915 
1250372, 2, 3, 1, 2, 8, 1, 747 
1250372, 2, 4, 1, 2, 8, 0, 742 
1250372, 2, 5, 1, 1, 4, 0, 846 
1250372, 2, 6, 1, 1, 4, 0, 666 
1250372, 2, 7, 2, 2, 8, 0, 810 
1250372, 2, 8, 2, 1, 4, 0, 977 
1250372, 2, 9, 2, 1, 8, 0, 896 
1250372, 2, 10, 1, 1, 16, 1, 811 
1250372, 2, 11, 1, 2, 16, 1, 827 
1250372, 2, 12, 2, 2, 8, 0, 1358 
1250372, 2, 13, 2, 1, 4, 0, 900 
1250372, 2, 14, 1, 2, 8, 0, 805 
1250372, 2, 15, 2, 2, 16, 0, 1481 
1250372, 2, 16, 2, 2, 8, 0, 655 
1250372, 2, 17, 1, 1, 4, 0, 842 
1250372, 2, 18, 2, 1, 16, 0, 1301 
1250372, 2, 19, 1, 1, 8, 0, 939 
1250372, 2, 20, 1, 1, 4, 0, 785 
1250372, 2, 21, 2, 2, 8, 0, 814 
1250372, 2, 22, 2, 1, 16, 0, 1241 
1250372, 2, 23, 2, 1, 16, 0, 1119 
1250372, 2, 24, 1, 2, 8, 0, 974 
1250372, 2, 25, 1, 2, 16, 0, 744 
1250372, 2, 26, 2, 2, 8, 0, 683 
1250372, 2, 27, 1, 1, 8, 1, 936 
1250372, 2, 28, 2, 2, 4, 0, 812 
1250372, 2, 29, 2, 2, 4, 0, 631 
1250372, 2, 30, 1, 2, 4, 0, 699 
1250372, 2, 31, 1, 2, 16, 0, 761 
1250372, 2, 32, 1, 2, 4, 0, 681 
1250372, 2, 33, 1, 1, 4, 1, 882 
1250372, 2, 34, 2, 2, 4, 0, 725 
1250372, 2, 35, 1, 2, 16, 0, 750 
1250372, 2, 36, 1, 2, 16, 0, 681 
1250372, 2, 37, 1, 2, 16, 0, 747 
1250372, 2, 38, 2, 2, 8, 0, 780 
1250372, 2, 39, 2, 1, 16, 0, 1096 
1250372, 2, 40, 2, 1, 8, 0, 1278 
1250372, 2, 41, 1, 1, 8, 0, 1015 
1250372, 2, 42, 1, 2, 4, 0, 844 
1250372, 2, 43, 1, 2, 8, 0, 600 
1250372, 2, 44, 1, 2, 8, 0, 571 
1250372, 2, 45, 1, 1, 16, 0, 1103 
1250372, 2, 46, 1, 1, 4, 0, 925 
1250372, 2, 47, 2, 1, 8, 0, 1210 
1250372, 2, 48, 2, 1, 4, 0, 743 
1250372, 2, 49, 2, 1, 16, 0, 1322 
1250372, 2, 50, 1, 1, 8, 0, 808 
1250372, 2, 51, 2, 1, 16, 0, 1436 
1250372, 2, 52, 2, 2, 4, 0, 866 
1250372, 2, 53, 1, 2, 4, 0, 840 
1250372, 2, 54, 2, 1, 4, 0, 859 
1250372, 2, 55, 2, 2, 16, 0, 1101 
1250372, 2, 56, 2, 1, 8, 0, 1183 
