,目標刺激：円,,,,,,目標刺激：円+棒,,,,,
,目標刺激あり(円+棒の中に円),,,目標刺激なし(円+棒のみ),,,目標刺激あり(円の中に円+棒),,,目標刺激なし(円のみ),,
参加者番号,4,8,16,4,8,16,4,8,16,4,8,16
1250372,783.105,872,980.867,857.2,1042.63,1338.65,768.222,761.389,750.778,710.65,754.579,811.5
1250373,1193.17,1352.79,1568.67,1262.2,1673.22,2128.1,1135.1,1043.06,966.65,906.4,1104.85,1159.75
1250362,698,979,984.143,791.25,1089.35,1199.75,651.211,621.688,656.412,598.722,594.947,684.737
1250342,888.421,1061.72,1314.4,925.526,1025.88,1095.28,888.421,923.2,1081,845.611,842.947,809.842
1250279,878.778,963.158,1236.47,908.7,1239,1619.55,866.389,747.263,838.471,652.05,744.2,872.7
1250364,849.632,848,994.167,738.105,1079.79,1214,681.75,721.765,703.158,624.611,695,716.947
1250317,755.95,943.105,1037.67,845.053,1053.65,1339.16,745.556,807.389,781.316,677.526,737.25,722.278
1250350,922.5,898.895,1104.83,867.15,1116.9,1424.55,835.8,882,822.278,714.4,790.9,744.526
1250359,913.824,1187.14,1283.6,1049.47,1273.67,1442.74,961.737,802.95,857.1,842.444,790.333,890.05
1250386,776.95,926.526,1023.68,926,1198.58,1756.15,747.263,724.895,738.263,613.053,646.7,755.15
1250302,862.158,966.056,1141.71,890.053,1237,1666.6,821.368,704.5,747.4211,808.2,812.294,831.579
1250385,1000.21,1182,1244.66,1006,1423.25,1679.35,800.8,788.75,826.3,806.26,834.05,941.75
1250353,814.25,990.25,1354.11,1131,1459.3,1841.15,761.55,764.95,840.05,718.15,810.8,1017.6
1250383,909.278,1001.76,1238.6,914,1057.85,1433.95,777.74,721.333,844.579,946.438,931.944,892.667
,,,,,,,,,,,,
反応時間の平均値,874.7304286,1012.314286,1179.112643,936.5505,1212.147857,1512.784286,817.3505,786.7951429,818.1268643,747.4653571,792.1995714,846.5054286
（不偏）分散,14623.15518,19668.22447,29640.45678,18852.99019,36736.541,80724.11463,14850.098,11007.30814,11615.11971,12556.73028,15278.89779,17008.08359
標準偏差,120.9262386,140.2434472,172.1640403,137.3061914,191.6677881,284.1198948,121.8609782,104.9157192,107.7734648,112.0568172,123.6078387,130.4150436
標準誤差,32.31889671,38.89653383,47.74971348,38.08188565,53.15907984,78.8006807,33.79815425,29.09838502,29.89098103,31.07896925,34.28264619,36.17062513
,表示形式は「自動」にしてください。左上の「123」と書かれている場所で変更できます。,,,,,,,,,,,
,,,,,,,,,,,,
回帰直線の傾き（目標刺激あり条件）,,,,,,,,,,,,
参加者番号,目標刺激：円,目標刺激：円+棒,傾きの差,,,,,,,,,
1250372,16.06991071,-1.435482143,17.50539286,,,,,,,,,
1250373,30.67642857,-13.39660714,44.07303571,,t 値,8.47957003,,,,,,
1250362,20.530625,0.9915714286,19.53905357,,,,,,,,,
1250342,34.93921429,16.5735,18.36571429,,,↓ 有意確率 (p),,,,,,
1250279,30.43,-0.3654285714,30.79542857,,TDIST,0.000001175536571,,,,,,
1250364,12.93405357,1.196875,11.73717857,,TTEST,0.0000003002339524,,,,,,
,,,,,,,,,,,,
1250350,16.70098214,-2.032321429,18.73330357,,,,,,,,,
1250359,28.13507143,-6.507107143,34.64217857,,,,,,,,,
1250386,19.35846429,-0.4041428571,19.76260714,,,,,,,,,
1250317,21.81151786,2.088696429,19.72282143,,,,,,,,,
1250302,23.10467857,-4.515473214,27.62015179,,,,,,,,,
1250353,45.05892857,6.948214286,38.11071429,,,,,,,,,
120383,27.75228571,6.975035714,20.77725,,,,,,,,,
1250385,18.57964286,2.491964286,16.08767857,,,,,,,,,
傾きの平均値,24.72012883,0.6149496173,24.10517921,,,,,,,,,
（不偏）分散,75.39627981,48.30711698,88.89262924,,,,,,,,,
標準偏差,8.683103121,6.950332149,9.428288776,,,,,,,,,
標準誤差,2.618054097,2.095603991,2.842736026,,,,,,,,,
